urlDrugName,rating,effectiveness,sideEffects,benefitsReview,sideEffectsReview,commentsReview
elavil,10,Considerably Effective,No Side Effects,"Although this drug was originally prescribed for depression, it helped with sleeplessness. Therefore, I have continued to take it for that alone. While I still on occasion have problems falling asleep, I find I can combine it with Melatonin or Valerian. In 12 years, I haven't had to increase the elavil dosage.",None.,"One a day, taken about an hour before bedtime."
sarafem,8,Considerably Effective,Mild Side Effects,I found that this drug helps significantly with my level of depression and monthly irritability that occurs around my menstrual cycles.,"My sides effects were not noticeable and very mild.  I have noticed some lower libido while on Fluoxetine, but no other noticeable side effects.","This was prescribes to me for treatment for depression, seasonable disorder and hormonal irritability.   I have gone off this medication while pregnant, but have resumed to help ease depression issues."
wellbutrin,10,Highly Effective,Mild Side Effects,"I have taken antidepressants for many years, and this is first that did not ""flip the switch"" on sexuality.  I no longer feel like I am looking out of a dark room.  I have more energy, feel more motivated, and overall function at a higher level than before.","A little bit of ""hyper"" feelings.  I take the entire dose at one time, daily, and have been advised that the feeling of being revved up would disspiate if I did take it in two or more doses during the day.  I try to minimize the effect by taking the medication first thing in the morning.","I suffer chronic depression and the Wellbutrin is the first antidepressant that did not sedate me, and the only that did not dampen sexual feelings.  I have taken tricyclics (sp?) which were extremely sedating as well as limiting as far as OTC medications and dietary restrictions.  I have also tried SSRIs (prozac, zoloft, etc.)and while they temporarily relieved my depression, 1) the effect did not last more than 6 months, and 2) they completely destroyed my libido."
prozac,7,Considerably Effective,Mild Side Effects,"relieves depression, helps other things such as sleep, dieting, exercise, relationships, responses to stimulous.  The cost is lower than other antidepressants which can be a help to those on a budget.",Sleepy and lack of response to problems.  Took too long to get started.  I think anyone else would think it wasn't effective and stop taking it.,"took a seemingly long period of time to become effective.  Once started, however, it did what I expected.  It is hard to be without now and think that it will be a problem stopping in the future."
lexapro,6,Moderately Effective,Mild Side Effects,"Before I started on the drug Lexapro, I felt lethargic and didn't want to get out of bed each morning. I hated getting up and facing the day. I would sit and watch the time pass by. Finally, I went to my Dr. for a checkup and he diagnosed me as being depressed. He put me on Wellbutrin and Lexapro 10 mg. I was instructed to take the pill 2 times per day everyday. For the first week I felt disconnected from myself but by the 2nd week I started to feel as if each morning was something to look forward to. I believe that Lexapro was a great addition to my life during my troubled times.",In the first week of treatment I felt disconnected from myself. I felt fuzzy and had trouble thinking clearly. It was this side effect that made me not want to take the drug anymore but I continued taking it 2 times per day. By the second week the fuzziness began to lift and I felt more like my normal self. After 2 months of taking Lexapro I felt like I was back to my old self again.,Lexapro was taken 2 times a day for 2 months.
wellbutrin-xl,8,Considerably Effective,Mild Side Effects,"The Wellbutrin with 20 mg of Prozac daily as an adjunct alleviated most symptoms of depression.  Better sleep as a result, and more energy throughout the day.","Jitters, trembling hands.","I had been taking Prozac with other medications for 10 years and it had stopped working for me.  After being prescribed Wellbutrin with it, I found I felt so much better.  However, when I tried to stop taking Prozac entirely and stay just on the Wellbutrin, my depression returned.  I have been on this cocktail now for 5 years and believe it has helped me immensly."
wellbutrin-sr,5,Moderately Effective,Moderate Side Effects,"decreased appetite, help to stop abusing alcohol","muscle aches, shakes, increased anxiety, strange thoughts, blurred vision","plan to keep taking and hope side effects decrease over time, possibly increasing dose, taking xanax to help with anxiety.  Took paxil and lexapro in past, gave me suicidal thoughts and actions when drinking alcohol with them.  Decided ssri's are not for me. keep hoping wellbutrin will help soon."
zoloft,6,Moderately Effective,No Side Effects,"Moderate lifting of depressive episode, made it so I could function better in everyday life.",None that I could detect. Nothing noticeable. Maybe just a bit more insomnia but I had that before taking Zoloft.,"I went to my internist and told him that I wanted to be put on a low dose of an antidepressant and something for my anxiety . I had been on Effexor for many years, awile ago. Effexor worked but the withdrawal symptoms were horrible, even if I so much as missed a dose. Perhaps it was a placebo effect, but I felt the Zoloft working after about a week. Nothing earth shattering,but noticeable."
zoloft,9,Highly Effective,Mild Side Effects,relaxed,tired,Taking zoloft once a day IF YOU ARE REALLY DEPRESSED may work wonders. But try to gat off of it as soon as possible. Long term side effects are still not known.
prozac,3,Marginally Effective,Severe Side Effects,According to her & what I was able to observe  there was not much benefits to this treatment  .,"There was terrible side effects while on the treatment  but even worst when she tried to stop the medication.  While on the treatment the worst side effect was the suicidal thoughts   .  Also  constant dry mouth , headaches .
   when she discontinued the treatment   the dizziness  & the ringing in the ears were unbearable .","She had to take anti-nauseated pills  for the nausea  , dizziness  plus other   pills for the ringing in the ears . 

 She succeeded after two   agonizing months  & will never take prozac again.
 
 I think every doctor should inform patients of the withdrawal side effects of this  drug ."
