urlDrugName,rating,effectiveness,sideEffects,benefitsReview,sideEffectsReview,commentsReview,word_count,stopwords,numerics
elavil,10,Considerably Effective,No Side Effects,"Although this drug was originally prescribed for depression, it helped with sleeplessness. Therefore, I have continued to take it for that alone. While I still on occasion have problems falling asleep, I find I can combine it with Melatonin or Valerian. In 12 years, I haven't had to increase the elavil dosage.",although drug originally prescribed helped sleeplessness therefore continued take alone still occasion problems falling asleep find combine melatonin valerian 12 years havent increase elavil dosage,"One a day, taken about an hour before bedtime.",52,20,1
sarafem,8,Considerably Effective,Mild Side Effects,I found that this drug helps significantly with my level of depression and monthly irritability that occurs around my menstrual cycles.,found drug helps significantly level monthly irritability occurs around menstrual cycles,"This was prescribes to me for treatment for depression, seasonable disorder and hormonal irritability.   I have gone off this medication while pregnant, but have resumed to help ease depression issues.",21,8,0
wellbutrin,10,Highly Effective,Mild Side Effects,"I have taken antidepressants for many years, and this is first that did not ""flip the switch"" on sexuality.  I no longer feel like I am looking out of a dark room.  I have more energy, feel more motivated, and overall function at a higher level than before.",taken antidepressants many years first flip switch sexuality longer like looking dark room energy motivated overall function higher level,"I suffer chronic depression and the Wellbutrin is the first antidepressant that did not sedate me, and the only that did not dampen sexual feelings.  I have taken tricyclics (sp?) which were extremely sedating as well as limiting as far as OTC medications and dietary restrictions.  I have also tried SSRIs (prozac, zoloft, etc.)and while they temporarily relieved my depression, 1) the effect did not last more than 6 months, and 2) they completely destroyed my libido.",50,22,0
prozac,7,Considerably Effective,Mild Side Effects,"relieves depression, helps other things such as sleep, dieting, exercise, relationships, responses to stimulous.  The cost is lower than other antidepressants which can be a help to those on a budget.",relieves helps things sleep dieting exercise relationships responses stimulous cost lower antidepressants help,"took a seemingly long period of time to become effective.  Once started, however, it did what I expected.  It is hard to be without now and think that it will be a problem stopping in the future.",32,15,0
lexapro,6,Moderately Effective,Mild Side Effects,"Before I started on the drug Lexapro, I felt lethargic and didn't want to get out of bed each morning. I hated getting up and facing the day. I would sit and watch the time pass by. Finally, I went to my Dr. for a checkup and he diagnosed me as being depressed. He put me on Wellbutrin and Lexapro 10 mg. I was instructed to take the pill 2 times per day everyday. For the first week I felt disconnected from myself but by the 2nd week I started to feel as if each morning was something to look forward to. I believe that Lexapro was a great addition to my life during my troubled times.",started drug lexapro lethargic didnt want get bed morning hated getting facing day would sit watch time pass finally went dr checkup diagnosed depressed put wellbutrin lexapro 10 mg instructed take pill 2 times per day everyday first week disconnected 2nd week started morning something look forward believe lexapro great addition life troubled times,Lexapro was taken 2 times a day for 2 months.,117,47,2
wellbutrin-xl,8,Considerably Effective,Mild Side Effects,"The Wellbutrin with 20 mg of Prozac daily as an adjunct alleviated most symptoms of depression.  Better sleep as a result, and more energy throughout the day.",wellbutrin 20 mg prozac daily adjunct alleviated symptoms sleep result energy throughout day,"I had been taking Prozac with other medications for 10 years and it had stopped working for me.  After being prescribed Wellbutrin with it, I found I felt so much better.  However, when I tried to stop taking Prozac entirely and stay just on the Wellbutrin, my depression returned.  I have been on this cocktail now for 5 years and believe it has helped me immensly.",28,11,1
wellbutrin-sr,5,Moderately Effective,Moderate Side Effects,"decreased appetite, help to stop abusing alcohol",decreased appetite help stop abusing alcohol,"plan to keep taking and hope side effects decrease over time, possibly increasing dose, taking xanax to help with anxiety.  Took paxil and lexapro in past, gave me suicidal thoughts and actions when drinking alcohol with them.  Decided ssri's are not for me. keep hoping wellbutrin will help soon.",7,1,0
zoloft,6,Moderately Effective,No Side Effects,"Moderate lifting of depressive episode, made it so I could function better in everyday life.",moderate lifting depressive episode made could function everyday life,"I went to my internist and told him that I wanted to be put on a low dose of an antidepressant and something for my anxiety . I had been on Effexor for many years, awile ago. Effexor worked but the withdrawal symptoms were horrible, even if I so much as missed a dose. Perhaps it was a placebo effect, but I felt the Zoloft working after about a week. Nothing earth shattering,but noticeable.",15,4,0
zoloft,9,Highly Effective,Mild Side Effects,relaxed,relaxed,Taking zoloft once a day IF YOU ARE REALLY DEPRESSED may work wonders. But try to gat off of it as soon as possible. Long term side effects are still not known.,1,0,0
prozac,3,Marginally Effective,Severe Side Effects,According to her & what I was able to observe  there was not much benefits to this treatment  .,according observe much benefits treatment,"She had to take anti-nauseated pills  for the nausea  , dizziness  plus other   pills for the ringing in the ears . 

 She succeeded after two   agonizing months  & will never take prozac again.
 
 I think every doctor should inform patients of the withdrawal side effects of this  drug .",21,10,0
paxil,6,Considerably Effective,Severe Side Effects,A more positive outlook and much easier social interaction.  Introversion diminished and friendly extroversion became more natural.  It was easier to start and finish projects because energy previously wasted on negative thoughts and actions was now available for constructive purposes.,positive outlook much easier social interaction introversion diminished friendly extroversion became natural easier start finish projects energy previously wasted negative thoughts actions available constructive purposes,"Just the one pill each morning.  This medication is such a double-edged sword that I could not recommend it.  The long term dangers of sustained treatment are too great, as evidenced by the severe withdrawal effects.  It really 'rewires' your brain and those effects may be unpredictable from person to person.",42,13,0
effexor-xr,5,Moderately Effective,Mild Side Effects,"Wasn't as severly depressed as before taking the drug, didn't sleep as much and was able to function normally in a job.",wasnt severly depressed taking drug didnt sleep much function normally job,"Took the medication in the mornings

tried to discontinue the medication gradually, but had severe side effects including electric like shocks",22,11,0
lexapro,1,Moderately Effective,Severe Side Effects,I felt less sadness.,less sadness,"I took a whole 10 mg tablet the first time and I wasn't right for two days.  I then took just a quarter of a 10 mg tablet and got the same reaction, but it only lasted for about a day. I was through with it a that point.",4,0,0
zoloft,8,Considerably Effective,Mild Side Effects,"After about two weeks of being on the medicine, I started to feel a little better but I think it takes awhile for it to really kick in. The medicine has helped me by the following:
Lessened depression, better overall mood, slightly less irritable and sensitive, better able to function daily",two weeks medicine started little think takes awhile really kick medicine helped following lessened overall mood slightly less irritable sensitive function daily,I was diagnosed with severe depression after attempted suicide.,50,18,0
